Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2005,Living Donor,65 +,58,0,1,0,6,1,0,0,0,0,2,0,1,0,0,0,0,0,0,6,1,2,8,0,1,0,0,0,1,0,8,1,1,1,0,1,3,0,1,1,0,2,3,0,0,5,1,0,0
2004,All Donor Types,All Donor Ages,"27,042",403,421,154,"3,296",382,176,19,277,"1,744",595,59,"1,251",554,148,137,274,565,66,568,705,919,955,33,601,267,65,36,613,64,"1,749",728,59,"1,193",239,252,"2,063",96,73,220,62,620,"1,940",302,24,627,622,50,776
2004,All Donor Types,< 1 Year,216,2,1,1,38,5,0,0,11,34,2,0,3,3,2,0,1,0,0,1,5,6,3,0,4,19,0,0,3,0,11,3,0,9,1,0,13,0,0,0,1,5,10,1,0,1,3,0,14
2004,All Donor Types,1-5 Years,517,3,1,4,78,6,2,1,15,21,8,0,15,6,5,0,0,18,2,11,8,8,6,0,11,25,0,0,7,1,41,5,0,14,0,3,75,0,2,1,2,5,58,5,0,8,7,2,27
2004,All Donor Types,6-10 Years,455,5,3,2,82,11,0,1,6,33,11,0,20,15,9,2,6,7,0,7,10,20,15,0,11,5,0,0,6,1,7,10,1,14,2,5,39,1,0,6,2,12,57,1,0,0,6,1,3
2004,All Donor Types,11-17 Years,"2,112",27,39,19,230,47,15,2,18,158,54,7,65,53,11,23,24,49,5,23,57,67,53,10,81,25,8,3,38,3,103,41,3,61,27,20,135,4,2,22,3,84,193,30,0,49,69,5,47
2004,All Donor Types,18-34 Years,"9,024",135,172,50,"1,097",150,70,10,99,589,203,20,472,170,41,64,98,205,16,168,209,307,333,14,225,72,35,14,174,20,446,252,23,402,86,74,632,47,19,105,10,238,651,143,3,220,214,17,210
2004,All Donor Types,35-49 Years,"8,546",151,126,51,"1,023",109,64,5,66,506,188,24,359,213,45,34,84,180,31,179,233,318,351,9,157,65,19,13,206,23,589,249,18,459,83,66,645,24,28,57,24,184,550,80,11,182,193,10,262
2004,All Donor Types,50-64 Years,"5,192",71,72,22,648,50,22,0,44,324,116,7,242,83,35,14,46,93,10,155,164,163,174,0,97,47,3,6,148,13,417,157,12,197,30,68,417,20,21,25,16,88,361,40,8,144,116,15,171
2004,All Donor Types,65 +,980,9,7,5,100,4,3,0,18,79,13,1,75,11,0,0,15,13,2,24,19,30,20,0,15,9,0,0,31,3,135,11,2,37,10,16,107,0,1,4,4,4,60,2,2,23,14,0,42
2004,Deceased Donor,All Donor Ages,"20,050",246,255,116,"2,488",290,128,7,192,"1,492",445,43,890,474,89,118,239,459,40,366,463,635,542,33,464,204,52,18,427,36,"1,217",557,35,809,216,170,"1,647",72,37,200,39,472,"1,597",209,14,405,493,33,577
2004,Deceased Donor,< 1 Year,216,2,1,1,38,5,0,0,11,34,2,0,3,3,2,0,1,0,0,1,5,6,3,0,4,19,0,0,3,0,11,3,0,9,1,0,13,0,0,0,1,5,10,1,0,1,3,0,14
2004,Deceased Donor,1-5 Years,517,3,1,4,78,6,2,1,15,21,8,0,15,6,5,0,0,18,2,11,8,8,6,0,11,25,0,0,7,1,41,5,0,14,0,3,75,0,2,1,2,5,58,5,0,8,7,2,27
2004,Deceased Donor,6-10 Years,455,5,3,2,82,11,0,1,6,33,11,0,20,15,9,2,6,7,0,7,10,20,15,0,11,5,0,0,6,1,7,10,1,14,2,5,39,1,0,6,2,12,57,1,0,0,6,1,3
2004,Deceased Donor,11-17 Years,"2,112",27,39,19,230,47,15,2,18,158,54,7,65,53,11,23,24,49,5,23,57,67,53,10,81,25,8,3,38,3,103,41,3,61,27,20,135,4,2,22,3,84,193,30,0,49,69,5,47
2004,Deceased Donor,18-34 Years,"6,672",87,107,36,814,124,55,3,62,515,145,15,312,148,20,59,87,161,13,106,143,217,209,14,178,51,28,9,114,10,278,199,12,264,82,47,497,38,8,101,4,176,537,107,2,127,181,14,156
2004,Deceased Donor,35-49 Years,"5,323",70,57,32,654,58,39,0,32,378,136,15,214,172,25,24,67,141,15,94,119,179,155,9,95,37,14,4,118,10,350,163,8,276,66,32,443,11,13,48,11,119,378,43,6,106,133,1,153
2004,Deceased Donor,50-64 Years,"3,832",43,41,18,498,36,15,0,30,276,77,5,186,66,17,10,39,72,3,104,105,110,88,0,70,34,2,2,111,8,297,126,9,136,28,49,342,18,11,18,12,68,306,21,4,94,82,10,135
2004,Deceased Donor,65 +,923,9,6,4,94,3,2,0,18,77,12,1,75,11,0,0,15,11,2,20,16,28,13,0,14,8,0,0,30,3,130,10,2,35,10,14,103,0,1,4,4,3,58,1,2,20,12,0,42
2004,Living Donor,All Donor Ages,"6,992",157,166,38,808,92,48,12,85,252,150,16,361,80,59,19,35,106,26,202,242,284,413,0,137,63,13,18,186,28,532,171,24,384,23,82,416,24,36,20,23,148,343,93,10,222,129,17,199
2004,Living Donor,18-34 Years,"2,352",48,65,14,283,26,15,7,37,74,58,5,160,22,21,5,11,44,3,62,66,90,124,0,47,21,7,5,60,10,168,53,11,138,4,27,135,9,11,4,6,62,114,36,1,93,33,3,54
2004,Living Donor,35-49 Years,"3,223",81,69,19,369,51,25,5,34,128,52,9,145,41,20,10,17,39,16,85,114,139,196,0,62,28,5,9,88,13,239,86,10,183,17,34,202,13,15,9,13,65,172,37,5,76,60,9,109
2004,Living Donor,50-64 Years,"1,360",28,31,4,150,14,7,0,14,48,39,2,56,17,18,4,7,21,7,51,59,53,86,0,27,13,1,4,37,5,120,31,3,61,2,19,75,2,10,7,4,20,55,19,4,50,34,5,36
2004,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Living Donor,65 +,57,0,1,1,6,1,1,0,0,2,1,0,0,0,0,0,0,2,0,4,3,2,7,0,1,1,0,0,1,0,5,1,0,2,0,2,4,0,0,0,0,1,2,1,0,3,2,0,0
2003,All Donor Types,All Donor Ages,"25,475",492,354,119,"3,138",364,172,15,262,"1,559",496,65,"1,199",527,195,136,277,539,67,483,672,784,942,40,494,217,59,35,513,53,"1,539",751,74,"1,061",252,336,"2,003",101,76,196,52,584,"1,899",276,37,601,563,65,741
2003,All Donor Types,< 1 Year,182,0,0,4,23,6,0,0,0,17,2,0,3,6,2,0,2,0,0,2,3,5,4,0,4,18,0,0,2,0,8,4,0,4,3,0,33,0,0,0,1,3,13,4,0,1,0,0,5
2003,All Donor Types,1-5 Years,449,1,0,5,70,13,0,2,3,42,12,0,13,7,15,0,1,11,0,10,5,10,2,0,11,11,0,0,4,0,25,8,0,13,4,0,57,0,0,5,2,5,57,5,0,5,7,1,7
2003,All Donor Types,6-10 Years,378,5,0,2,50,3,2,2,1,31,19,2,24,7,1,1,2,4,0,8,13,17,4,0,14,2,0,1,6,1,12,7,0,10,1,1,35,0,0,8,0,8,34,4,0,15,3,2,16
2003,All Donor Types,11-17 Years,"2,029",51,23,11,229,44,9,2,11,145,71,5,82,23,20,14,23,38,7,23,54,47,93,11,46,18,8,2,12,7,90,76,5,58,29,20,126,9,6,11,2,54,228,26,6,31,63,7,53
2003,All Donor Types,18-34 Years,"8,490",195,123,41,"1,048",133,49,2,95,488,209,18,403,175,60,68,90,236,15,119,179,248,327,22,188,58,24,8,158,21,455,274,18,341,81,113,561,47,25,72,13,214,677,108,14,226,220,20,211
2003,All Donor Types,35-49 Years,"8,208",167,133,42,"1,002",103,68,7,97,474,114,18,362,179,60,30,100,158,40,172,243,279,339,6,155,65,15,15,188,17,466,232,31,406,85,110,592,35,31,71,20,208,541,86,11,202,158,25,250
2003,All Donor Types,50-64 Years,"4,859",71,71,14,631,60,38,0,52,270,60,22,263,106,34,23,52,88,4,119,139,168,150,1,64,40,12,4,116,7,355,135,20,210,41,86,468,10,10,28,10,78,292,42,4,114,105,10,162
2003,All Donor Types,65 +,880,2,4,0,85,2,6,0,3,92,9,0,49,24,3,0,7,4,1,30,36,10,23,0,12,5,0,5,27,0,128,15,0,19,8,6,131,0,4,1,4,14,57,1,2,7,7,0,37
2003,Deceased Donor,All Donor Ages,"18,661",319,209,80,"2,325",274,114,11,147,"1,357",385,54,838,468,133,105,239,455,39,297,439,501,518,39,380,163,42,25,340,33,"1,028",561,37,729,208,206,"1,613",73,44,170,31,417,"1,539",184,25,414,427,44,582
2003,Deceased Donor,< 1 Year,182,0,0,4,23,6,0,0,0,17,2,0,3,6,2,0,2,0,0,2,3,5,4,0,4,18,0,0,2,0,8,4,0,4,3,0,33,0,0,0,1,3,13,4,0,1,0,0,5
2003,Deceased Donor,1-5 Years,449,1,0,5,70,13,0,2,3,42,12,0,13,7,15,0,1,11,0,10,5,10,2,0,11,11,0,0,4,0,25,8,0,13,4,0,57,0,0,5,2,5,57,5,0,5,7,1,7
2003,Deceased Donor,6-10 Years,378,5,0,2,50,3,2,2,1,31,19,2,24,7,1,1,2,4,0,8,13,17,4,0,14,2,0,1,6,1,12,7,0,10,1,1,35,0,0,8,0,8,34,4,0,15,3,2,16
2003,Deceased Donor,11-17 Years,"2,028",51,23,11,229,44,9,2,11,145,71,5,81,23,20,14,23,38,7,23,54,47,93,11,46,18,8,2,12,7,90,76,5,58,29,20,126,9,6,11,2,54,228,26,6,31,63,7,53
2003,Deceased Donor,18-34 Years,"6,209",131,80,27,734,104,29,2,48,429,172,14,248,162,41,56,81,196,8,72,112,153,202,22,138,41,13,4,105,15,281,214,10,229,72,79,432,30,18,63,6,168,545,79,10,165,187,15,167
2003,Deceased Donor,35-49 Years,"4,990",85,63,24,656,56,46,3,47,378,60,15,210,147,30,15,75,126,21,81,131,131,127,5,108,35,10,9,98,6,249,143,12,233,63,52,408,25,12,59,9,118,382,41,5,104,97,13,167
2003,Deceased Donor,50-64 Years,"3,611",45,39,7,484,46,23,0,34,227,41,18,210,94,21,19,48,76,3,75,89,130,67,1,47,33,11,4,91,4,245,94,10,163,28,51,398,9,4,24,7,50,225,25,2,86,67,6,130
2003,Deceased Donor,65 +,814,1,4,0,79,2,5,0,3,88,8,0,49,22,3,0,7,4,0,26,32,8,19,0,12,5,0,5,22,0,118,15,0,19,8,3,124,0,4,0,4,11,55,0,2,7,3,0,37
2003,Living Donor,All Donor Ages,"6,814",173,145,39,813,90,58,4,115,202,111,11,361,59,62,31,38,84,28,186,233,283,424,1,114,54,17,10,173,20,511,190,37,332,44,130,390,28,32,26,21,167,360,92,12,187,136,21,159
2003,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Living Donor,18-34 Years,"2,281",64,43,14,314,29,20,0,47,59,37,4,155,13,19,12,9,40,7,47,67,95,125,0,50,17,11,4,53,6,174,60,8,112,9,34,129,17,7,9,7,46,132,29,4,61,33,5,44
2003,Living Donor,35-49 Years,"3,218",82,70,18,346,47,22,4,50,96,54,3,152,32,30,15,25,32,19,91,112,148,212,1,47,30,5,6,90,11,217,89,19,173,22,58,184,10,19,12,11,90,159,45,6,98,61,12,83
2003,Living Donor,50-64 Years,"1,248",26,32,7,147,14,15,0,18,43,19,4,53,12,13,4,4,12,1,44,50,38,83,0,17,7,1,0,25,3,110,41,10,47,13,35,70,1,6,4,3,28,67,17,2,28,38,4,32
2003,Living Donor,65 +,66,1,0,0,6,0,1,0,0,4,1,0,0,2,0,0,0,0,1,4,4,2,4,0,0,0,0,0,5,0,10,0,0,0,0,3,7,0,0,1,0,3,2,1,0,0,4,0,0
2003,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,All Donor Types,All Donor Ages,"24,916",454,376,122,"3,007",361,212,24,252,"1,497",496,75,"1,092",444,211,144,296,476,62,630,604,791,887,43,508,226,68,31,514,59,"1,644",701,75,"1,059",227,313,"1,891",72,87,224,39,607,"1,814",264,3,559,518,61,796
2002,All Donor Types,< 1 Year,182,0,0,0,23,5,1,2,0,44,0,0,7,1,2,0,0,1,0,1,1,8,4,0,6,16,0,0,0,0,17,3,0,3,0,0,16,0,0,0,1,2,8,0,0,0,0,0,10
2002,All Donor Types,1-5 Years,500,4,1,6,81,7,0,2,2,49,10,0,19,4,11,0,4,11,2,12,4,11,13,0,12,6,0,0,12,2,34,7,0,18,2,0,63,0,0,3,2,10,50,3,0,4,5,1,13
2002,All Donor Types,6-10 Years,450,9,4,2,67,7,0,4,5,27,12,4,25,8,8,3,0,20,0,11,6,13,5,1,19,10,0,0,6,0,19,15,0,23,3,0,37,1,3,6,2,9,28,1,1,7,13,1,5
2002,All Donor Types,11-17 Years,"1,972",45,24,7,244,55,13,3,15,89,37,3,95,24,21,31,32,59,8,41,25,64,66,5,59,21,11,0,19,2,80,63,3,55,30,30,142,7,0,29,2,59,189,27,0,34,49,2,53
2002,All Donor Types,18-34 Years,"8,607",147,165,58,"1,072",124,62,8,97,500,193,18,415,183,56,53,123,199,15,184,200,244,298,22,241,76,24,12,138,18,486,242,27,335,86,100,546,28,25,90,8,220,691,120,2,186,211,18,241
2002,All Donor Types,35-49 Years,"7,924",185,107,31,919,96,84,5,85,412,157,30,356,159,56,38,87,112,25,210,219,302,343,11,119,60,23,12,176,27,540,215,21,404,63,89,544,28,26,64,9,191,538,80,0,180,160,28,298
2002,All Donor Types,50-64 Years,"4,502",62,74,18,540,63,47,0,42,298,78,20,147,64,52,18,50,57,11,144,135,140,134,4,49,28,10,7,133,10,338,130,19,208,41,68,430,7,24,25,7,108,264,30,0,131,73,9,155
2002,All Donor Types,65 +,777,2,1,0,61,4,5,0,6,76,9,0,28,1,5,1,0,17,1,27,14,9,24,0,3,9,0,0,30,0,130,26,5,13,2,26,113,1,9,7,8,8,46,3,0,17,7,2,21
2002,All Donor Types,Unknown,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Deceased Donor,All Donor Ages,"18,297",292,228,83,"2,259",270,138,12,146,"1,338",366,54,750,377,162,117,258,406,32,428,407,536,502,39,402,172,50,16,343,29,"1,108",536,53,676,182,194,"1,546",46,50,199,30,460,"1,445",187,3,373,373,41,583
2002,Deceased Donor,< 1 Year,182,0,0,0,23,5,1,2,0,44,0,0,7,1,2,0,0,1,0,1,1,8,4,0,6,16,0,0,0,0,17,3,0,3,0,0,16,0,0,0,1,2,8,0,0,0,0,0,10
2002,Deceased Donor,1-5 Years,500,4,1,6,81,7,0,2,2,49,10,0,19,4,11,0,4,11,2,12,4,11,13,0,12,6,0,0,12,2,34,7,0,18,2,0,63,0,0,3,2,10,50,3,0,4,5,1,13
2002,Deceased Donor,6-10 Years,450,9,4,2,67,7,0,4,5,27,12,4,25,8,8,3,0,20,0,11,6,13,5,1,19,10,0,0,6,0,19,15,0,23,3,0,37,1,3,6,2,9,28,1,1,7,13,1,5
2002,Deceased Donor,11-17 Years,"1,970",45,24,7,244,55,13,3,15,89,37,3,95,24,21,31,32,59,8,41,25,64,66,5,58,21,11,0,19,2,79,63,3,55,30,30,142,7,0,29,2,59,189,27,0,34,49,2,53
2002,Deceased Donor,18-34 Years,"6,371",91,112,40,781,95,44,1,55,450,150,13,271,163,41,45,110,162,10,125,146,162,178,19,198,57,19,7,89,12,304,192,17,212,76,64,438,16,11,85,4,169,565,93,2,124,164,11,178
2002,Deceased Donor,35-49 Years,"4,835",107,45,13,596,55,42,0,39,348,91,15,207,123,35,25,67,89,6,115,121,183,160,10,71,35,15,4,82,7,310,129,13,217,43,38,380,16,12,50,5,118,365,39,0,89,89,19,197
2002,Deceased Donor,50-64 Years,"3,271",34,41,15,415,45,34,0,24,257,58,19,98,53,40,13,45,47,6,98,96,86,60,4,35,18,5,5,106,6,225,103,15,135,27,42,357,5,16,19,6,86,194,21,0,98,47,5,107
2002,Deceased Donor,65 +,716,2,1,0,52,1,4,0,6,72,8,0,28,1,4,0,0,17,0,25,8,9,16,0,3,9,0,0,29,0,120,24,5,13,1,20,113,1,8,7,8,7,46,3,0,17,6,2,20
2002,Deceased Donor,Unknown,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Living Donor,All Donor Ages,"6,619",162,148,39,748,91,74,12,106,159,130,21,342,67,49,27,38,70,30,202,197,255,385,4,106,54,18,15,171,30,536,165,22,383,45,119,345,26,37,25,9,147,369,77,0,186,145,20,213
2002,Living Donor,11-17 Years,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Living Donor,18-34 Years,"2,236",56,53,18,291,29,18,7,42,50,43,5,144,20,15,8,13,37,5,59,54,82,120,3,43,19,5,5,49,6,182,50,10,123,10,36,108,12,14,5,4,51,126,27,0,62,47,7,63
2002,Living Donor,35-49 Years,"3,089",78,62,18,323,41,42,5,46,64,66,15,149,36,21,13,20,23,19,95,98,119,183,1,48,25,8,8,94,20,230,86,8,187,20,51,164,12,14,14,4,73,173,41,0,91,71,9,101
2002,Living Donor,50-64 Years,"1,231",28,33,3,125,18,13,0,18,41,20,1,49,11,12,5,5,10,5,46,39,54,74,0,14,10,5,2,27,4,113,27,4,73,14,26,73,2,8,6,1,22,70,9,0,33,26,4,48
2002,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Living Donor,65 +,61,0,0,0,9,3,1,0,0,4,1,0,0,0,1,1,0,0,1,2,6,0,8,0,0,0,0,0,1,0,10,2,0,0,1,6,0,0,1,0,0,1,0,0,0,0,1,0,1
2001,All Donor Types,All Donor Ages,"24,243",464,341,103,"2,789",362,214,18,238,"1,653",531,58,940,348,196,139,257,467,83,753,662,761,959,38,539,232,70,25,506,61,"1,655",693,63,"1,064",223,300,"1,716",103,84,295,25,549,"1,636",223,6,578,485,53,685
2001,All Donor Types,< 1 Year,173,0,2,4,14,4,0,1,0,32,1,0,2,2,0,0,0,1,0,4,1,1,3,0,5,17,0,0,1,0,26,2,0,4,0,0,19,0,0,0,0,3,14,0,0,1,0,0,9
2001,All Donor Types,1-5 Years,506,5,2,5,55,10,2,2,3,65,9,0,17,6,7,0,3,15,0,28,6,13,4,0,9,23,0,0,14,0,32,15,0,25,3,1,39,1,0,5,1,6,58,1,0,3,6,0,7
2001,All Donor Types,6-10 Years,576,6,13,5,62,9,1,1,1,42,17,0,21,6,15,4,3,15,0,8,13,23,11,1,11,11,7,0,8,1,24,23,1,36,6,4,34,2,0,22,4,22,45,6,0,12,3,5,12
2001,All Donor Types,11-17 Years,"1,978",36,20,9,194,38,12,1,10,134,62,2,90,45,19,26,20,52,4,45,37,71,76,9,62,14,4,0,31,3,74,55,0,78,36,22,111,13,1,23,4,55,195,32,0,31,59,8,55
2001,All Donor Types,18-34 Years,"8,098",148,116,39,"1,030",119,76,9,96,562,199,19,339,142,51,53,101,171,24,192,222,243,300,17,211,50,27,5,130,20,536,249,21,346,75,79,509,47,22,124,8,182,592,58,2,196,132,16,193
2001,All Donor Types,35-49 Years,"7,889",181,137,32,859,132,65,4,75,435,150,23,287,105,68,42,80,134,33,260,229,265,379,8,163,56,23,16,174,23,546,221,26,378,68,114,581,26,34,83,7,173,461,85,3,207,183,15,240
2001,All Donor Types,50-64 Years,"4,275",72,44,9,485,47,52,0,48,296,84,14,165,40,31,14,48,73,12,174,137,137,164,3,72,50,9,3,119,12,320,114,11,178,29,72,347,14,22,31,1,96,232,41,1,111,99,7,135
2001,All Donor Types,65 +,748,16,7,0,90,3,6,0,5,87,9,0,19,2,5,0,2,6,10,42,17,8,22,0,6,11,0,1,29,2,97,14,4,19,6,8,76,0,5,7,0,12,39,0,0,17,3,2,34
2001,Deceased Donor,All Donor Ages,"17,645",317,203,66,"2,020",250,129,8,135,"1,452",416,45,649,283,140,111,210,391,44,508,444,525,539,36,406,194,46,11,341,32,"1,042",529,31,730,186,196,"1,408",71,42,264,18,414,"1,344",144,2,389,331,33,520
2001,Deceased Donor,< 1 Year,173,0,2,4,14,4,0,1,0,32,1,0,2,2,0,0,0,1,0,4,1,1,3,0,5,17,0,0,1,0,26,2,0,4,0,0,19,0,0,0,0,3,14,0,0,1,0,0,9
2001,Deceased Donor,1-5 Years,506,5,2,5,55,10,2,2,3,65,9,0,17,6,7,0,3,15,0,28,6,13,4,0,9,23,0,0,14,0,32,15,0,25,3,1,39,1,0,5,1,6,58,1,0,3,6,0,7
2001,Deceased Donor,6-10 Years,576,6,13,5,62,9,1,1,1,42,17,0,21,6,15,4,3,15,0,8,13,23,11,1,11,11,7,0,8,1,24,23,1,36,6,4,34,2,0,22,4,22,45,6,0,12,3,5,12
2001,Deceased Donor,11-17 Years,"1,977",36,20,9,194,38,12,1,10,134,62,2,89,45,19,26,20,52,4,45,37,71,76,9,62,14,4,0,31,3,74,55,0,78,36,22,111,13,1,23,4,55,195,32,0,31,59,8,55
2001,Deceased Donor,18-34 Years,"5,800",104,55,26,706,81,48,2,50,491,153,15,223,121,35,44,87,140,15,114,165,153,188,17,161,38,15,3,87,9,304,189,7,234,69,52,416,30,12,113,6,129,491,32,2,124,93,9,142
2001,Deceased Donor,35-49 Years,"4,823",102,83,10,536,84,35,1,37,345,105,16,154,66,39,28,58,104,9,149,121,161,159,7,101,39,13,5,88,11,274,148,10,207,45,61,440,13,15,69,3,110,319,50,0,122,109,5,157
2001,Deceased Donor,50-64 Years,"3,112",50,22,7,372,22,26,0,30,258,60,12,124,35,20,9,37,59,7,125,86,96,86,2,52,42,7,2,87,6,217,84,9,128,22,50,276,12,9,26,0,77,185,23,0,82,59,5,107
2001,Deceased Donor,65 +,678,14,6,0,81,2,5,0,4,85,9,0,19,2,5,0,2,5,9,35,15,7,12,0,5,10,0,1,25,2,91,13,4,18,5,6,73,0,5,6,0,12,37,0,0,14,2,1,31
2001,Living Donor,All Donor Ages,"6,598",147,138,37,769,112,85,10,103,201,115,13,291,65,56,28,47,76,39,245,218,236,420,2,133,38,24,14,165,29,613,164,32,334,37,104,308,32,42,31,7,135,292,79,4,189,154,20,165
2001,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Living Donor,18-34 Years,"2,298",44,61,13,324,38,28,7,46,71,46,4,116,21,16,9,14,31,9,78,57,90,112,0,50,12,12,2,43,11,232,60,14,112,6,27,93,17,10,11,2,53,101,26,0,72,39,7,51
2001,Living Donor,35-49 Years,"3,066",79,54,22,323,48,30,3,38,90,45,7,133,39,29,14,22,30,24,111,108,104,220,1,62,17,10,11,86,12,272,73,16,171,23,53,141,13,19,14,4,63,142,35,3,85,74,10,83
2001,Living Donor,50-64 Years,"1,163",22,22,2,113,25,26,0,18,38,24,2,41,5,11,5,11,14,5,49,51,41,78,1,20,8,2,1,32,6,103,30,2,50,7,22,71,2,13,5,1,19,47,18,1,29,40,2,28
2001,Living Donor,65 +,70,2,1,0,9,1,1,0,1,2,0,0,0,0,0,0,0,1,1,7,2,1,10,0,1,1,0,0,4,0,6,1,0,1,1,2,3,0,0,1,0,0,2,0,0,3,1,1,3
2001,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,All Donor Types,All Donor Ages,"23,274",527,289,110,"2,640",353,197,11,226,"1,370",480,53,984,303,208,146,265,428,57,812,647,721,919,37,595,249,63,21,484,74,"1,467",674,26,"1,121",207,276,"1,617",81,63,284,27,550,"1,629",221,21,527,530,59,625
2000,All Donor Types,< 1 Year,168,1,1,1,21,13,0,0,0,14,3,0,11,3,3,0,1,0,0,2,2,3,4,0,7,20,0,0,0,0,17,4,0,7,1,0,15,0,0,0,2,0,4,2,0,1,0,0,5
2000,All Donor Types,1-5 Years,475,3,4,2,65,6,2,0,2,44,12,0,15,3,11,0,2,5,0,19,9,6,5,0,14,13,0,0,10,0,23,11,0,19,2,0,68,1,0,12,2,8,60,4,0,0,3,1,9
2000,All Donor Types,6-10 Years,515,10,4,3,62,5,3,2,3,51,15,0,17,7,5,4,2,15,0,7,9,7,24,4,28,12,2,0,3,2,17,19,0,37,4,7,45,0,0,1,3,8,34,6,0,7,8,2,11
2000,All Donor Types,11-17 Years,"2,118",60,16,12,182,33,16,0,12,134,44,7,88,39,20,29,21,49,0,52,55,88,68,7,104,24,10,0,20,4,107,94,2,78,21,18,125,11,6,23,1,60,192,32,2,33,43,2,74
2000,All Donor Types,18-34 Years,"7,572",204,96,34,895,119,62,6,87,412,179,10,331,126,49,63,115,148,18,214,202,220,302,11,169,72,22,6,151,27,393,198,3,368,60,81,471,30,25,117,7,209,604,89,5,186,182,18,176
2000,All Donor Types,35-49 Years,"7,573",152,105,35,846,125,75,3,75,419,134,20,332,93,60,34,75,137,22,296,224,250,313,13,188,61,18,12,167,28,513,208,13,390,82,88,505,31,18,96,6,163,453,62,5,202,189,19,218
2000,All Donor Types,50-64 Years,"4,209",82,57,23,497,50,34,0,41,228,87,14,159,32,55,15,48,67,17,190,133,142,170,2,72,37,11,3,116,9,312,122,6,209,32,72,305,8,13,32,5,98,261,26,9,88,94,17,109
2000,All Donor Types,65 +,640,15,6,0,72,2,5,0,6,67,6,2,31,0,5,1,1,7,0,32,13,5,33,0,12,10,0,0,17,4,85,18,2,13,5,10,82,0,1,2,1,4,21,0,0,10,11,0,23
2000,All Donor Types,Unknown,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2000,Deceased Donor,All Donor Ages,"17,335",412,199,65,"1,960",242,122,5,117,"1,202",372,46,732,242,146,121,224,362,31,547,424,471,608,36,450,213,43,9,338,49,960,536,14,825,185,190,"1,332",50,31,253,19,429,"1,303",152,13,340,395,40,480
2000,Deceased Donor,< 1 Year,168,1,1,1,21,13,0,0,0,14,3,0,11,3,3,0,1,0,0,2,2,3,4,0,7,20,0,0,0,0,17,4,0,7,1,0,15,0,0,0,2,0,4,2,0,1,0,0,5
2000,Deceased Donor,1-5 Years,475,3,4,2,65,6,2,0,2,44,12,0,15,3,11,0,2,5,0,19,9,6,5,0,14,13,0,0,10,0,23,11,0,19,2,0,68,1,0,12,2,8,60,4,0,0,3,1,9
2000,Deceased Donor,6-10 Years,514,10,4,3,62,5,3,2,3,51,15,0,17,7,5,4,2,15,0,7,9,7,24,4,28,12,2,0,3,2,16,19,0,37,4,7,45,0,0,1,3,8,34,6,0,7,8,2,11
2000,Deceased Donor,11-17 Years,"2,117",60,16,12,182,33,16,0,12,134,44,7,88,39,20,29,21,49,0,51,55,88,68,7,104,24,10,0,20,4,107,94,2,78,21,18,125,11,6,23,1,60,192,32,2,33,43,2,74
2000,Deceased Donor,18-34 Years,"5,528",160,69,25,659,81,41,1,38,353,138,8,243,107,27,49,100,123,11,132,119,143,199,11,123,55,11,3,101,15,212,151,1,269,54,56,377,17,8,103,3,163,487,62,2,127,146,11,134
